Epoch 1 Step 50 | loss: 12.0887
Epoch 1 Step 100 | loss: 10.2692
Epoch 1 Step 150 | loss: 9.6413
Epoch 1 Step 200 | loss: 9.3150
Epoch 1 Step 250 | loss: 9.1174
Epoch 1 Step 300 | loss: 8.9861
Epoch 1 Step 350 | loss: 8.8911
Epoch 1 Step 400 | loss: 8.8189
Epoch 1 Step 450 | loss: 8.7620
Epoch 1 Step 500 | loss: 8.7137
Epoch 1 Step 550 | loss: 8.6731
Epoch 1 Step 600 | loss: 8.6437
Epoch 1 Step 650 | loss: 8.6175
Epoch 1 Step 700 | loss: 8.5928
Epoch 1 Step 750 | loss: 8.5740
Epoch 1 Step 800 | loss: 8.5562
Epoch 1 Step 850 | loss: 8.5400
Epoch 1 Step 900 | loss: 8.5275
Epoch 1 Step 950 | loss: 8.5166
Epoch 1 Step 1000 | loss: 8.5052
Epoch 1 Step 1050 | loss: 8.4967
Epoch 1 Step 1100 | loss: 8.4903
Epoch 1 Step 1150 | loss: 8.4819
Epoch 1 Step 1200 | loss: 8.4759
